Date,total_lmp,node_name
7/1/2022 10:00:00 PM,77.40208,CHICAGO HUB
7/1/2022 10:00:00 PM,81.12754,DOMINION HUB
7/1/2022 10:00:00 PM,80.27555,EASTERN HUB
7/1/2022 10:00:00 PM,76.77117,N ILLINOIS HUB
7/1/2022 10:00:00 PM,78.57245,NEW JERSEY HUB
7/1/2022 10:00:00 PM,78.81255,OHIO HUB
7/1/2022 10:00:00 PM,79.16166,WEST INT HUB
7/1/2022 10:00:00 PM,80.15916,WESTERN HUB
7/1/2022 11:00:00 PM,70.17289,AEP GEN HUB
7/1/2022 11:00:00 PM,71.69892,AEP-DAYTON HUB
7/1/2022 11:00:00 PM,71.95113,ATSI GEN HUB
7/1/2022 11:00:00 PM,69.49753,CHICAGO GEN HUB
7/1/2022 11:00:00 PM,70.67024,CHICAGO HUB
7/1/2022 11:00:00 PM,73.49170,DOMINION HUB
7/1/2022 11:00:00 PM,74.02327,EASTERN HUB
7/1/2022 11:00:00 PM,70.13588,N ILLINOIS HUB
7/1/2022 11:00:00 PM,72.54446,NEW JERSEY HUB
7/1/2022 11:00:00 PM,71.87857,OHIO HUB
7/1/2022 11:00:00 PM,72.20500,WEST INT HUB
7/1/2022 11:00:00 PM,72.66353,WESTERN HUB
7/2/2022 12:00:00 AM,66.99394,AEP GEN HUB
7/2/2022 12:00:00 AM,68.18216,AEP-DAYTON HUB
7/2/2022 12:00:00 AM,68.26340,ATSI GEN HUB
7/2/2022 12:00:00 AM,65.70276,CHICAGO GEN HUB
7/2/2022 12:00:00 AM,66.81547,CHICAGO HUB
7/2/2022 12:00:00 AM,70.42584,DOMINION HUB
7/2/2022 12:00:00 AM,70.14967,EASTERN HUB
7/2/2022 12:00:00 AM,66.31999,N ILLINOIS HUB
7/2/2022 12:00:00 AM,69.57119,NEW JERSEY HUB
7/2/2022 12:00:00 AM,68.20986,OHIO HUB
7/2/2022 12:00:00 AM,68.78555,WEST INT HUB
7/2/2022 12:00:00 AM,69.73187,WESTERN HUB
7/2/2022 1:00:00 AM,58.14842,AEP GEN HUB
7/2/2022 1:00:00 AM,59.11545,AEP-DAYTON HUB
7/2/2022 1:00:00 AM,59.57659,ATSI GEN HUB
7/2/2022 1:00:00 AM,57.02807,CHICAGO GEN HUB
7/2/2022 1:00:00 AM,57.96659,CHICAGO HUB
7/2/2022 1:00:00 AM,60.98645,DOMINION HUB
7/2/2022 1:00:00 AM,61.75926,EASTERN HUB
7/2/2022 1:00:00 AM,57.53690,N ILLINOIS HUB
7/2/2022 1:00:00 AM,61.14713,NEW JERSEY HUB
7/2/2022 1:00:00 AM,59.13483,OHIO HUB
7/2/2022 1:00:00 AM,59.80611,WEST INT HUB
7/2/2022 1:00:00 AM,60.72176,WESTERN HUB
7/2/2022 2:00:00 AM,53.72526,AEP GEN HUB
7/2/2022 2:00:00 AM,54.64438,AEP-DAYTON HUB
7/2/2022 2:00:00 AM,54.99499,ATSI GEN HUB
7/2/2022 2:00:00 AM,52.21323,CHICAGO GEN HUB
7/2/2022 2:00:00 AM,53.06698,CHICAGO HUB
7/2/2022 2:00:00 AM,56.19987,DOMINION HUB
7/2/2022 2:00:00 AM,56.62853,EASTERN HUB
7/2/2022 2:00:00 AM,52.66677,N ILLINOIS HUB
7/2/2022 2:00:00 AM,56.14365,NEW JERSEY HUB
7/2/2022 2:00:00 AM,54.68310,OHIO HUB
7/2/2022 2:00:00 AM,55.17000,WEST INT HUB
7/2/2022 2:00:00 AM,55.85281,WESTERN HUB
7/2/2022 3:00:00 AM,47.38368,AEP GEN HUB
7/2/2022 3:00:00 AM,48.17210,AEP-DAYTON HUB
7/2/2022 3:00:00 AM,48.39795,ATSI GEN HUB
7/2/2022 3:00:00 AM,45.91053,CHICAGO GEN HUB
7/2/2022 3:00:00 AM,46.60545,CHICAGO HUB
7/2/2022 3:00:00 AM,49.53804,DOMINION HUB
7/2/2022 3:00:00 AM,49.93007,EASTERN HUB
7/2/2022 3:00:00 AM,46.27835,N ILLINOIS HUB
7/2/2022 3:00:00 AM,49.57828,NEW JERSEY HUB
7/2/2022 3:00:00 AM,48.18961,OHIO HUB
7/2/2022 3:00:00 AM,48.60000,WEST INT HUB
7/2/2022 3:00:00 AM,49.18020,WESTERN HUB
7/2/2022 4:00:00 AM,44.87973,AEP GEN HUB
7/2/2022 4:00:00 AM,45.60885,AEP-DAYTON HUB
7/2/2022 4:00:00 AM,45.77772,ATSI GEN HUB
7/2/2022 4:00:00 AM,43.36653,CHICAGO GEN HUB
7/2/2022 4:00:00 AM,44.01807,CHICAGO HUB
7/2/2022 4:00:00 AM,46.95147,DOMINION HUB
7/2/2022 4:00:00 AM,47.31077,EASTERN HUB
7/2/2022 4:00:00 AM,43.70854,N ILLINOIS HUB
7/2/2022 4:00:00 AM,47.00163,NEW JERSEY HUB
7/2/2022 4:00:00 AM,45.62379,OHIO HUB
7/2/2022 4:00:00 AM,46.01277,WEST INT HUB
7/2/2022 4:00:00 AM,46.61603,WESTERN HUB
7/2/2022 5:00:00 AM,44.24447,AEP GEN HUB
7/2/2022 5:00:00 AM,45.05147,AEP-DAYTON HUB
7/2/2022 5:00:00 AM,45.02704,ATSI GEN HUB
